,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__l2_regularization,param_classifier__learning_rate,param_classifier__max_bins,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.14140615463256836,0.008949692697351096,0.041285133361816405,0.0065622105422743346,3.4708827440788716e-06,5.228223240366085,12,2,2,"{'classifier__l2_regularization': 3.4708827440788716e-06, 'classifier__learning_rate': 5.228223240366085, 'classifier__max_bins': 12, 'classifier__max_leaf_nodes': 2, 'classifier__min_samples_leaf': 2}",0.2845639415859151,0.2798252798252798,0.27559377559377557,0.28883428883428885,0.28856128856128854,0.2834757148801096,0.005122738620217165,198
1,0.5189079284667969,0.02433337823251556,0.06077117919921875,0.007442857846628882,0.01576098029787011,0.004361636196591636,16,5,8,"{'classifier__l2_regularization': 0.01576098029787011, 'classifier__learning_rate': 0.004361636196591636, 'classifier__max_bins': 16, 'classifier__max_leaf_nodes': 5, 'classifier__min_samples_leaf': 8}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,122
2,0.2663261890411377,0.009268417831887444,0.04385848045349121,0.007841321105309006,0.0012775678529445402,4.23614755445395,107,51,24,"{'classifier__l2_regularization': 0.0012775678529445402, 'classifier__learning_rate': 4.23614755445395, 'classifier__max_bins': 107, 'classifier__max_leaf_nodes': 51, 'classifier__min_samples_leaf': 24}",0.8022382967107957,0.6700791700791701,0.7761397761397761,0.7604422604422605,0.7259077259077259,0.7469614458559456,0.04570072431103577,165
3,1.4224680423736573,0.13282323160567305,0.062218236923217776,0.009080517519125203,1.2879400777403913e-06,0.10977259020039946,36,87,7,"{'classifier__l2_regularization': 1.2879400777403913e-06, 'classifier__learning_rate': 0.10977259020039946, 'classifier__max_bins': 36, 'classifier__max_leaf_nodes': 87, 'classifier__min_samples_leaf': 7}",0.8545107137982804,0.8565383565383565,0.8572208572208572,0.8514878514878514,0.8562653562653563,0.8552046270621403,0.0020622851935944097,25
4,0.30472521781921386,0.05764082453779803,0.05015420913696289,0.01161078124386831,878.085844250556,4.123914678093923,2,44,4,"{'classifier__l2_regularization': 878.085844250556, 'classifier__learning_rate': 4.123914678093923, 'classifier__max_bins': 2, 'classifier__max_leaf_nodes': 44, 'classifier__min_samples_leaf': 4}",0.7027432782857923,0.7566202566202567,0.7383292383292384,0.7697242697242698,0.7553917553917554,0.7445617596702625,0.023166690638967802,166
5,4.5701305866241455,0.25483316059107575,0.07011442184448242,0.012073742218271918,0.014996704199792613,0.0011423261280237938,2,185,2,"{'classifier__l2_regularization': 0.014996704199792613, 'classifier__learning_rate': 0.0011423261280237938, 'classifier__max_bins': 2, 'classifier__max_leaf_nodes': 185, 'classifier__min_samples_leaf': 2}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,122
6,0.7196264743804932,0.09291314067559978,0.07039294242858887,0.002403290534573086,7.1294721489976025,0.001973583127839218,4,10,2,"{'classifier__l2_regularization': 7.1294721489976025, 'classifier__learning_rate': 0.001973583127839218, 'classifier__max_bins': 4, 'classifier__max_leaf_nodes': 10, 'classifier__min_samples_leaf': 2}",0.7589736590691961,0.758940758940759,0.758940758940759,0.758940758940759,0.758940758940759,0.7589473389664464,1.316005137486087e-05,122
7,1.1354219913482666,0.1278580164716298,0.052199268341064455,0.008454251705393453,0.0001854074452215475,0.15234525982911246,5,86,31,"{'classifier__l2_regularization': 0.0001854074452215475, 'classifier__learning_rate': 0.15234525982911246, 'classifier__max_bins': 5, 'classifier__max_leaf_nodes': 86, 'classifier__min_samples_leaf': 31}",0.8274873754606251,0.8299208299208299,0.831012831012831,0.8214578214578214,0.8308763308763308,0.8281510377456878,0.0035773968077294637,77
8,4.0559672832489015,0.1788380943205368,0.08549838066101074,0.02213739406496012,1.1092182349957806e-06,0.0437909294671939,6,168,14,"{'classifier__l2_regularization': 1.1092182349957806e-06, 'classifier__learning_rate': 0.0437909294671939, 'classifier__max_bins': 6, 'classifier__max_leaf_nodes': 168, 'classifier__min_samples_leaf': 14}",0.8259860788863109,0.8308763308763308,0.8315588315588316,0.8266448266448266,0.8284193284193284,0.8286970792771257,0.002217077949882252,76
9,0.9149381637573242,0.09544652493329665,0.061272287368774415,0.006048052477877876,415.54150288733086,0.5946650979168484,29,23,2,"{'classifier__l2_regularization': 415.54150288733086, 'classifier__learning_rate': 0.5946650979168484, 'classifier__max_bins': 29, 'classifier__max_leaf_nodes': 23, 'classifier__min_samples_leaf': 2}",0.8546471953050362,0.8595413595413596,0.8555828555828556,0.855036855036855,0.8553098553098553,0.8560236241551923,0.0017858597267687703,21
10,0.17022395133972168,0.019120534281613744,0.0474602222442627,0.0014711067426860687,687.4224921980892,9.404832760131328,21,2,55,"{'classifier__l2_regularization': 687.4224921980892, 'classifier__learning_rate': 9.404832760131328, 'classifier__max_bins': 21, 'classifier__max_leaf_nodes': 2, 'classifier__min_samples_leaf': 55}",0.6454210454483418,0.6511056511056511,0.6414141414141414,0.6388206388206388,0.6430521430521431,0.6439627239681832,0.004169258445687598,186
